Rank,Pair,Symbol_Y,Symbol_X,Score,Score_rt_frequency,Score_beta_smoothness,Score_window_reversion,Score_regime_stability,Score_adf,Score_kurtosis_penalty,RT_Total,RT_Signals,RT_Completion,RT_Annual_Freq,Best_Ref_Lookback,Lookback_Scan,Delta_Beta_Std,Delta_Beta_Rel,Beta_Mean,Beta_CV,WRS_Pct_Fast,WRS_Median_HL,WRS_N_Windows,Regime_Quality,Regime_Total,Regime_Consistency,Regime_Detail,ADF_Pvalue,Spread_Kurtosis,Overlap_Days
114,LTCUSDT-SUIUSDT,LTCUSDT,SUIUSDT,76.89,10.0,2.96,0.0,13.93,50.0,-0.0,34,47,0.7234,13.469,100,"[{""lookback"": 100, ""n_rt"": 34, ""n_sig"": 47, ""rt_comp"": 0.723404255319149, ""rt_annual"": 13.469088937093277, ""rt_per_bar"": 0.034623217922606926, ""lb_stability_bonus"": 1.0, ""combined"": 0.021302914186041855}, {""lookback"": 130, ""n_rt"": 32, ""n_sig"": 49, ""rt_comp"": 0.6530612244897959, ""rt_annual"": 13.103139013452916, ""rt_per_bar"": 0.03361344537815126, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.018465313223002072}, {""lookback"": 155, ""n_rt"": 27, ""n_sig"": 46, ""rt_comp"": 0.5869565217391305, ""rt_annual"": 11.374567474048444, ""rt_per_bar"": 0.02912621359223301, ""lb_stability_bonus"": 1.075, ""combined"": 0.014079959091227574}, {""lookback"": 180, ""n_rt"": 28, ""n_sig"": 47, ""rt_comp"": 0.5957446808510638, ""rt_annual"": 12.146080760095012, ""rt_per_bar"": 0.031042128603104215, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.015831020068047447}, {""lookback"": 210, ""n_rt"": 20, ""n_sig"": 41, ""rt_comp"": 0.4878048780487805, ""rt_annual"": 8.996305418719212, ""rt_per_bar"": 0.022935779816513763, ""lb_stability_bonus"": 1.15, ""combined"": 0.0089862926844374}]",0.01251,0.032013,0.390793,0.6528,0.0,17.44,12,4,4,0.8214,"[{""regime"": 1, ""n_rt"": 8, ""n_sig"": 12, ""completion"": 0.6666666666666666, ""annual_freq"": 12.759825327510917}, {""regime"": 2, ""n_rt"": 13, ""n_sig"": 15, ""completion"": 0.8666666666666667, ""annual_freq"": 20.73471615720524}, {""regime"": 3, ""n_rt"": 5, ""n_sig"": 10, ""completion"": 0.5, ""annual_freq"": 7.974890829694323}, {""regime"": 4, ""n_rt"": 7, ""n_sig"": 10, ""completion"": 0.7, ""annual_freq"": 11.020474137931034}]",0.000249,0.8456,1081
115,INJUSDT-AAVEUSDT,INJUSDT,AAVEUSDT,76.88,9.91,2.64,0.0,14.33,50.0,-0.0,44,64,0.6875,11.993,100,"[{""lookback"": 100, ""n_rt"": 44, ""n_sig"": 64, ""rt_comp"": 0.6875, ""rt_annual"": 11.993283582089552, ""rt_per_bar"": 0.03142857142857143, ""lb_stability_bonus"": 1.0, ""combined"": 0.017915696412187654}, {""lookback"": 130, ""n_rt"": 38, ""n_sig"": 62, ""rt_comp"": 0.6129032258064516, ""rt_annual"": 10.595038167938931, ""rt_per_bar"": 0.027737226277372264, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.013853633421218143}, {""lookback"": 155, ""n_rt"": 30, ""n_sig"": 54, ""rt_comp"": 0.5555555555555556, ""rt_annual"": 8.527237354085603, ""rt_per_bar"": 0.022304832713754646, ""lb_stability_bonus"": 1.075, ""combined"": 0.009928843766263006}, {""lookback"": 180, ""n_rt"": 31, ""n_sig"": 58, ""rt_comp"": 0.5344827586206896, ""rt_annual"": 8.986309523809524, ""rt_per_bar"": 0.023484848484848483, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.010177836232912421}, {""lookback"": 210, ""n_rt"": 27, ""n_sig"": 60, ""rt_comp"": 0.45, ""rt_annual"": 8.017682926829268, ""rt_per_bar"": 0.020930232558139535, ""lb_stability_bonus"": 1.15, ""combined"": 0.007265920887352514}]",0.040858,0.050609,0.807326,0.9286,0.1579,23.64,19,4,4,0.8887,"[{""regime"": 1, ""n_rt"": 9, ""n_sig"": 16, ""completion"": 0.5625, ""annual_freq"": 9.842065868263473}, {""regime"": 2, ""n_rt"": 11, ""n_sig"": 16, ""completion"": 0.6875, ""annual_freq"": 12.029191616766466}, {""regime"": 3, ""n_rt"": 9, ""n_sig"": 16, ""completion"": 0.5625, ""annual_freq"": 9.842065868263473}, {""regime"": 4, ""n_rt"": 15, ""n_sig"": 17, ""completion"": 0.8823529411764706, ""annual_freq"": 16.354477611940297}]",0.000163,1.3604,1499
116,IMXUSDT-RUNEUSDT,IMXUSDT,RUNEUSDT,76.87,9.83,2.86,0.0,14.18,50.0,-0.0,44,65,0.6769,11.993,100,"[{""lookback"": 100, ""n_rt"": 44, ""n_sig"": 65, ""rt_comp"": 0.676923076923077, ""rt_annual"": 11.993283582089552, ""rt_per_bar"": 0.03142857142857143, ""lb_stability_bonus"": 1.0, ""combined"": 0.017503851515797895}, {""lookback"": 130, ""n_rt"": 39, ""n_sig"": 62, ""rt_comp"": 0.6290322580645161, ""rt_annual"": 10.87385496183206, ""rt_per_bar"": 0.02846715328467153, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.014783123929355756}, {""lookback"": 155, ""n_rt"": 39, ""n_sig"": 67, ""rt_comp"": 0.582089552238806, ""rt_annual"": 11.085408560311283, ""rt_per_bar"": 0.02899628252788104, ""lb_stability_bonus"": 1.075, ""combined"": 0.01384316812505735}, {""lookback"": 180, ""n_rt"": 34, ""n_sig"": 63, ""rt_comp"": 0.5396825396825397, ""rt_annual"": 9.855952380952381, ""rt_per_bar"": 0.025757575757575757, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.011326081509030785}, {""lookback"": 210, ""n_rt"": 32, ""n_sig"": 62, ""rt_comp"": 0.5161290322580645, ""rt_annual"": 9.502439024390243, ""rt_per_bar"": 0.024806201550387597, ""lb_stability_bonus"": 1.15, ""combined"": 0.010577804634495128}]",0.027574,0.03795,0.726589,0.7335,0.0,30.67,19,4,4,0.8636,"[{""regime"": 1, ""n_rt"": 10, ""n_sig"": 17, ""completion"": 0.5882352941176471, ""annual_freq"": 10.93562874251497}, {""regime"": 2, ""n_rt"": 10, ""n_sig"": 14, ""completion"": 0.7142857142857143, ""annual_freq"": 10.93562874251497}, {""regime"": 3, ""n_rt"": 16, ""n_sig"": 20, ""completion"": 0.8, ""annual_freq"": 17.49700598802395}, {""regime"": 4, ""n_rt"": 8, ""n_sig"": 14, ""completion"": 0.5714285714285714, ""annual_freq"": 8.722388059701492}]",0.000671,1.1684,1499
117,AVAXUSDT-NEARUSDT,AVAXUSDT,NEARUSDT,76.87,9.69,3.0,0.0,14.71,49.47,-0.0,46,70,0.6571,13.335,180,"[{""lookback"": 100, ""n_rt"": 43, ""n_sig"": 70, ""rt_comp"": 0.6142857142857143, ""rt_annual"": 11.72070895522388, ""rt_per_bar"": 0.030714285714285715, ""lb_stability_bonus"": 1.0, ""combined"": 0.01478754377452728}, {""lookback"": 130, ""n_rt"": 37, ""n_sig"": 61, ""rt_comp"": 0.6065573770491803, ""rt_annual"": 10.316221374045801, ""rt_per_bar"": 0.027007299270072994, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.013280113659546313}, {""lookback"": 155, ""n_rt"": 44, ""n_sig"": 68, ""rt_comp"": 0.6470588235294118, ""rt_annual"": 12.506614785992218, ""rt_per_bar"": 0.03271375464684015, ""lb_stability_bonus"": 1.075, ""combined"": 0.018304358036329793}, {""lookback"": 180, ""n_rt"": 46, ""n_sig"": 70, ""rt_comp"": 0.6571428571428571, ""rt_annual"": 13.334523809523809, ""rt_per_bar"": 0.03484848484848485, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.02058925979151319}, {""lookback"": 210, ""n_rt"": 33, ""n_sig"": 64, ""rt_comp"": 0.515625, ""rt_annual"": 9.799390243902439, ""rt_per_bar"": 0.02558139534883721, ""lb_stability_bonus"": 1.15, ""combined"": 0.010892385886615643}]",0.008944,0.010101,0.885421,0.3549,0.0,31.24,18,4,4,0.9514,"[{""regime"": 1, ""n_rt"": 12, ""n_sig"": 18, ""completion"": 0.6666666666666666, ""annual_freq"": 13.95859872611465}, {""regime"": 2, ""n_rt"": 13, ""n_sig"": 17, ""completion"": 0.7647058823529411, ""annual_freq"": 15.121815286624203}, {""regime"": 3, ""n_rt"": 11, ""n_sig"": 16, ""completion"": 0.6875, ""annual_freq"": 12.795382165605094}, {""regime"": 4, ""n_rt"": 10, ""n_sig"": 19, ""completion"": 0.5263157894736842, ""annual_freq"": 11.595238095238095}]",0.010955,0.5779,1499
118,BNBUSDT-ICPUSDT,BNBUSDT,ICPUSDT,76.86,9.37,2.77,0.0,14.72,50.0,-0.0,35,57,0.614,10.146,180,"[{""lookback"": 100, ""n_rt"": 38, ""n_sig"": 59, ""rt_comp"": 0.6440677966101694, ""rt_annual"": 10.357835820895522, ""rt_per_bar"": 0.027142857142857142, ""lb_stability_bonus"": 1.0, ""combined"": 0.014029847112019923}, {""lookback"": 130, ""n_rt"": 38, ""n_sig"": 62, ""rt_comp"": 0.6129032258064516, ""rt_annual"": 10.595038167938931, ""rt_per_bar"": 0.027737226277372264, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.013853633421218143}, {""lookback"": 155, ""n_rt"": 33, ""n_sig"": 56, ""rt_comp"": 0.5892857142857143, ""rt_annual"": 9.379961089494163, ""rt_per_bar"": 0.02453531598513011, ""lb_stability_bonus"": 1.075, ""combined"": 0.011931333609689189}, {""lookback"": 180, ""n_rt"": 35, ""n_sig"": 57, ""rt_comp"": 0.6140350877192983, ""rt_annual"": 10.145833333333334, ""rt_per_bar"": 0.026515151515151516, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.014149824119777159}, {""lookback"": 210, ""n_rt"": 30, ""n_sig"": 56, ""rt_comp"": 0.5357142857142857, ""rt_annual"": 8.908536585365853, ""rt_per_bar"": 0.023255813953488372, ""lb_stability_bonus"": 1.15, ""combined"": 0.010486467768913328}]",0.011605,0.042997,0.269911,1.2119,0.0556,24.02,18,4,4,0.9526,"[{""regime"": 1, ""n_rt"": 8, ""n_sig"": 15, ""completion"": 0.5333333333333333, ""annual_freq"": 9.305732484076433}, {""regime"": 2, ""n_rt"": 9, ""n_sig"": 15, ""completion"": 0.6, ""annual_freq"": 10.468949044585987}, {""regime"": 3, ""n_rt"": 10, ""n_sig"": 13, ""completion"": 0.7692307692307693, ""annual_freq"": 11.63216560509554}, {""regime"": 4, ""n_rt"": 8, ""n_sig"": 14, ""completion"": 0.5714285714285714, ""annual_freq"": 9.276190476190475}]",0.004985,1.0236,1499
119,ATOMUSDT-ICPUSDT,ATOMUSDT,ICPUSDT,76.85,9.67,3.0,0.0,14.18,50.0,-0.0,38,58,0.6552,11.284,210,"[{""lookback"": 100, ""n_rt"": 32, ""n_sig"": 58, ""rt_comp"": 0.5517241379310345, ""rt_annual"": 8.722388059701492, ""rt_per_bar"": 0.022857142857142857, ""lb_stability_bonus"": 1.0, ""combined"": 0.00936709489129562}, {""lookback"": 130, ""n_rt"": 35, ""n_sig"": 56, ""rt_comp"": 0.625, ""rt_annual"": 9.758587786259541, ""rt_per_bar"": 0.025547445255474453, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.01313954433801093}, {""lookback"": 155, ""n_rt"": 30, ""n_sig"": 54, ""rt_comp"": 0.5555555555555556, ""rt_annual"": 8.527237354085603, ""rt_per_bar"": 0.022304832713754646, ""lb_stability_bonus"": 1.075, ""combined"": 0.009928843766263006}, {""lookback"": 180, ""n_rt"": 37, ""n_sig"": 57, ""rt_comp"": 0.6491228070175439, ""rt_annual"": 10.725595238095238, ""rt_per_bar"": 0.02803030303030303, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.016258678409718764}, {""lookback"": 210, ""n_rt"": 38, ""n_sig"": 58, ""rt_comp"": 0.6551724137931034, ""rt_annual"": 11.284146341463414, ""rt_per_bar"": 0.02945736434108527, ""lb_stability_bonus"": 1.15, ""combined"": 0.01796491353344921}]",0.008407,0.012597,0.667354,0.4469,0.0,35.77,17,4,4,0.8633,"[{""regime"": 1, ""n_rt"": 13, ""n_sig"": 18, ""completion"": 0.7222222222222222, ""annual_freq"": 15.517156862745098}, {""regime"": 2, ""n_rt"": 11, ""n_sig"": 15, ""completion"": 0.7333333333333333, ""annual_freq"": 13.129901960784315}, {""regime"": 3, ""n_rt"": 7, ""n_sig"": 15, ""completion"": 0.4666666666666667, ""annual_freq"": 8.355392156862745}, {""regime"": 4, ""n_rt"": 7, ""n_sig"": 11, ""completion"": 0.6363636363636364, ""annual_freq"": 8.274271844660195}]",0.00065,0.671,1499
120,ETHUSDT-DOGEUSDT,ETHUSDT,DOGEUSDT,76.85,9.25,3.0,0.0,14.6,50.0,-0.0,40,67,0.597,10.903,100,"[{""lookback"": 100, ""n_rt"": 40, ""n_sig"": 67, ""rt_comp"": 0.5970149253731343, ""rt_annual"": 10.902985074626866, ""rt_per_bar"": 0.02857142857142857, ""lb_stability_bonus"": 1.0, ""combined"": 0.013179827876951057}, {""lookback"": 130, ""n_rt"": 40, ""n_sig"": 70, ""rt_comp"": 0.5714285714285714, ""rt_annual"": 11.15267175572519, ""rt_per_bar"": 0.029197080291970802, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.013127896758989559}, {""lookback"": 155, ""n_rt"": 33, ""n_sig"": 63, ""rt_comp"": 0.5238095238095238, ""rt_annual"": 9.379961089494163, ""rt_per_bar"": 0.02453531598513011, ""lb_stability_bonus"": 1.075, ""combined"": 0.009999083738086155}, {""lookback"": 180, ""n_rt"": 31, ""n_sig"": 67, ""rt_comp"": 0.4626865671641791, ""rt_annual"": 8.986309523809524, ""rt_per_bar"": 0.023484848484848483, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.008197572095135148}, {""lookback"": 210, ""n_rt"": 26, ""n_sig"": 64, ""rt_comp"": 0.40625, ""rt_annual"": 7.720731707317073, ""rt_per_bar"": 0.020155038759689922, ""lb_stability_bonus"": 1.15, ""combined"": 0.00600166207889267}]",0.019375,0.030042,0.644912,0.563,0.0526,23.15,19,4,4,0.9334,"[{""regime"": 1, ""n_rt"": 9, ""n_sig"": 15, ""completion"": 0.6, ""annual_freq"": 9.842065868263473}, {""regime"": 2, ""n_rt"": 12, ""n_sig"": 22, ""completion"": 0.5454545454545454, ""annual_freq"": 13.122754491017963}, {""regime"": 3, ""n_rt"": 9, ""n_sig"": 15, ""completion"": 0.6, ""annual_freq"": 9.842065868263473}, {""regime"": 4, ""n_rt"": 9, ""n_sig"": 15, ""completion"": 0.6, ""annual_freq"": 9.812686567164178}]",0.000143,0.2244,1499
121,ARBUSDT-TIAUSDT,ARBUSDT,TIAUSDT,76.85,9.6,3.0,0.0,14.46,49.8,-0.0,29,45,0.6444,14.295,100,"[{""lookback"": 100, ""n_rt"": 29, ""n_sig"": 45, ""rt_comp"": 0.6444444444444445, ""rt_annual"": 14.294534412955464, ""rt_per_bar"": 0.03620474406991261, ""lb_stability_bonus"": 1.0, ""combined"": 0.018730255774290137}, {""lookback"": 130, ""n_rt"": 23, ""n_sig"": 39, ""rt_comp"": 0.5897435897435898, ""rt_annual"": 11.815400843881857, ""rt_per_bar"": 0.029831387808041506, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.014063101230914806}, {""lookback"": 155, ""n_rt"": 20, ""n_sig"": 40, ""rt_comp"": 0.5, ""rt_annual"": 10.64868804664723, ""rt_per_bar"": 0.02680965147453083, ""lb_stability_bonus"": 1.075, ""combined"": 0.010189541417902664}, {""lookback"": 180, ""n_rt"": 22, ""n_sig"": 40, ""rt_comp"": 0.55, ""rt_annual"": 12.156580937972768, ""rt_per_bar"": 0.030513176144244106, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.013803798016203026}, {""lookback"": 210, ""n_rt"": 19, ""n_sig"": 37, ""rt_comp"": 0.5135135135135135, ""rt_annual"": 10.998019017432647, ""rt_per_bar"": 0.027496382054992764, ""lb_stability_bonus"": 1.15, ""combined"": 0.01163593292920058}]",0.016533,0.020457,0.808147,0.3734,0.1111,23.92,9,4,4,0.9104,"[{""regime"": 1, ""n_rt"": 8, ""n_sig"": 10, ""completion"": 0.8, ""annual_freq"": 15.880434782608697}, {""regime"": 2, ""n_rt"": 8, ""n_sig"": 14, ""completion"": 0.5714285714285714, ""annual_freq"": 15.880434782608697}, {""regime"": 3, ""n_rt"": 8, ""n_sig"": 11, ""completion"": 0.7272727272727273, ""annual_freq"": 15.880434782608697}, {""regime"": 4, ""n_rt"": 5, ""n_sig"": 11, ""completion"": 0.45454545454545453, ""annual_freq"": 9.818548387096774}]",0.010368,-0.3894,900
122,BTCUSDT-DOGEUSDT,BTCUSDT,DOGEUSDT,76.84,9.87,2.92,0.0,14.05,50.0,-0.0,45,66,0.6818,12.266,100,"[{""lookback"": 100, ""n_rt"": 45, ""n_sig"": 66, ""rt_comp"": 0.6818181818181818, ""rt_annual"": 12.265858208955224, ""rt_per_bar"": 0.03214285714285714, ""lb_stability_bonus"": 1.0, ""combined"": 0.018096198249844802}, {""lookback"": 130, ""n_rt"": 36, ""n_sig"": 60, ""rt_comp"": 0.6, ""rt_annual"": 10.037404580152671, ""rt_per_bar"": 0.026277372262773723, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.012712226160371843}, {""lookback"": 155, ""n_rt"": 31, ""n_sig"": 56, ""rt_comp"": 0.5535714285714286, ""rt_annual"": 8.81147859922179, ""rt_per_bar"": 0.023048327137546468, ""lb_stability_bonus"": 1.075, ""combined"": 0.010204891086434473}, {""lookback"": 180, ""n_rt"": 34, ""n_sig"": 58, ""rt_comp"": 0.5862068965517241, ""rt_annual"": 9.855952380952381, ""rt_per_bar"": 0.025757575757575757, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.012821785778202375}, {""lookback"": 210, ""n_rt"": 30, ""n_sig"": 54, ""rt_comp"": 0.5555555555555556, ""rt_annual"": 8.908536585365853, ""rt_per_bar"": 0.023255813953488372, ""lb_stability_bonus"": 1.15, ""combined"": 0.011074410741278028}]",0.015394,0.034691,0.443747,0.6145,0.1053,25.0,19,4,4,0.8417,"[{""regime"": 1, ""n_rt"": 6, ""n_sig"": 10, ""completion"": 0.6, ""annual_freq"": 6.561377245508981}, {""regime"": 2, ""n_rt"": 14, ""n_sig"": 20, ""completion"": 0.7, ""annual_freq"": 15.309880239520957}, {""regime"": 3, ""n_rt"": 15, ""n_sig"": 20, ""completion"": 0.75, ""annual_freq"": 16.403443113772454}, {""regime"": 4, ""n_rt"": 10, ""n_sig"": 16, ""completion"": 0.625, ""annual_freq"": 10.902985074626866}]",0.000192,1.2978,1499
123,FILUSDT-FETUSDT,FILUSDT,FETUSDT,76.83,9.43,3.0,0.0,14.4,50.0,-0.0,41,66,0.6212,11.885,180,"[{""lookback"": 100, ""n_rt"": 36, ""n_sig"": 60, ""rt_comp"": 0.6, ""rt_annual"": 9.812686567164178, ""rt_per_bar"": 0.025714285714285714, ""lb_stability_bonus"": 1.0, ""combined"": 0.011950920039725742}, {""lookback"": 130, ""n_rt"": 40, ""n_sig"": 65, ""rt_comp"": 0.6153846153846154, ""rt_annual"": 11.15267175572519, ""rt_per_bar"": 0.029197080291970802, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.014671420941173116}, {""lookback"": 155, ""n_rt"": 33, ""n_sig"": 61, ""rt_comp"": 0.5409836065573771, ""rt_annual"": 9.379961089494163, ""rt_per_bar"": 0.02453531598513011, ""lb_stability_bonus"": 1.075, ""combined"": 0.01049485099996875}, {""lookback"": 180, ""n_rt"": 41, ""n_sig"": 66, ""rt_comp"": 0.6212121212121212, ""rt_annual"": 11.885119047619048, ""rt_per_bar"": 0.03106060606060606, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.016866965351638657}, {""lookback"": 210, ""n_rt"": 32, ""n_sig"": 59, ""rt_comp"": 0.5423728813559322, ""rt_annual"": 9.502439024390243, ""rt_per_bar"": 0.024806201550387597, ""lb_stability_bonus"": 1.15, ""combined"": 0.01139475674720342}]",0.009925,0.02034,0.487959,0.4508,0.0,27.02,18,4,4,0.9,"[{""regime"": 1, ""n_rt"": 8, ""n_sig"": 16, ""completion"": 0.5, ""annual_freq"": 9.305732484076433}, {""regime"": 2, ""n_rt"": 12, ""n_sig"": 16, ""completion"": 0.75, ""annual_freq"": 13.95859872611465}, {""regime"": 3, ""n_rt"": 8, ""n_sig"": 17, ""completion"": 0.47058823529411764, ""annual_freq"": 9.305732484076433}, {""regime"": 4, ""n_rt"": 12, ""n_sig"": 17, ""completion"": 0.7058823529411765, ""annual_freq"": 13.914285714285715}]",0.000748,1.2557,1499
124,ARBUSDT-JUPUSDT,ARBUSDT,JUPUSDT,76.83,10.0,3.0,0.0,13.83,50.0,-0.0,21,30,0.7,11.819,100,"[{""lookback"": 100, ""n_rt"": 21, ""n_sig"": 30, ""rt_comp"": 0.7, ""rt_annual"": 11.818567026194144, ""rt_per_bar"": 0.029619181946403384, ""lb_stability_bonus"": 1.0, ""combined"": 0.017346829887236823}, {""lookback"": 130, ""n_rt"": 17, ""n_sig"": 29, ""rt_comp"": 0.5862068965517241, ""rt_annual"": 10.031098546042003, ""rt_per_bar"": 0.025036818851251842, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.011696834197575431}, {""lookback"": 155, ""n_rt"": 12, ""n_sig"": 27, ""rt_comp"": 0.4444444444444444, ""rt_annual"": 7.378787878787879, ""rt_per_bar"": 0.01834862385321101, ""lb_stability_bonus"": 1.075, ""combined"": 0.005844376486578322}, {""lookback"": 180, ""n_rt"": 9, ""n_sig"": 23, ""rt_comp"": 0.391304347826087, ""rt_annual"": 5.777240773286467, ""rt_per_bar"": 0.014308426073131956, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.0038844632732400633}, {""lookback"": 210, ""n_rt"": 13, ""n_sig"": 24, ""rt_comp"": 0.5416666666666666, ""rt_annual"": 8.809369202226346, ""rt_per_bar"": 0.021702838063439065, ""lb_stability_bonus"": 1.15, ""combined"": 0.0099497584189553}]",0.023399,0.025433,0.920048,0.5023,0.0,24.4,8,4,4,0.8051,"[{""regime"": 1, ""n_rt"": 7, ""n_sig"": 9, ""completion"": 0.7777777777777778, ""annual_freq"": 15.880434782608695}, {""regime"": 2, ""n_rt"": 2, ""n_sig"": 4, ""completion"": 0.5, ""annual_freq"": 4.537267080745342}, {""regime"": 3, ""n_rt"": 5, ""n_sig"": 8, ""completion"": 0.625, ""annual_freq"": 11.343167701863354}, {""regime"": 4, ""n_rt"": 7, ""n_sig"": 9, ""completion"": 0.7777777777777778, ""annual_freq"": 15.68558282208589}]",0.008054,-0.4303,808
125,FILUSDT-ICPUSDT,FILUSDT,ICPUSDT,76.83,9.71,3.0,0.0,14.11,50.0,-0.0,35,53,0.6604,10.393,210,"[{""lookback"": 100, ""n_rt"": 33, ""n_sig"": 53, ""rt_comp"": 0.6226415094339622, ""rt_annual"": 8.994962686567163, ""rt_per_bar"": 0.023571428571428573, ""lb_stability_bonus"": 1.0, ""combined"": 0.011580918614977136}, {""lookback"": 130, ""n_rt"": 36, ""n_sig"": 55, ""rt_comp"": 0.6545454545454545, ""rt_annual"": 10.037404580152671, ""rt_per_bar"": 0.026277372262773723, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.014484531482026245}, {""lookback"": 155, ""n_rt"": 36, ""n_sig"": 56, ""rt_comp"": 0.6428571428571429, ""rt_annual"": 10.232684824902723, ""rt_per_bar"": 0.026765799256505577, ""lb_stability_bonus"": 1.075, ""combined"": 0.014830657019346376}, {""lookback"": 180, ""n_rt"": 33, ""n_sig"": 54, ""rt_comp"": 0.6111111111111112, ""rt_annual"": 9.566071428571428, ""rt_per_bar"": 0.025, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.0132460815439458}, {""lookback"": 210, ""n_rt"": 35, ""n_sig"": 53, ""rt_comp"": 0.660377358490566, ""rt_annual"": 10.393292682926829, ""rt_per_bar"": 0.027131782945736434, ""lb_stability_bonus"": 1.15, ""combined"": 0.01674420130181814}]",0.005838,0.006396,0.912784,0.2397,0.0588,18.75,17,4,4,0.8522,"[{""regime"": 1, ""n_rt"": 6, ""n_sig"": 13, ""completion"": 0.46153846153846156, ""annual_freq"": 7.161764705882353}, {""regime"": 2, ""n_rt"": 8, ""n_sig"": 14, ""completion"": 0.5714285714285714, ""annual_freq"": 9.549019607843137}, {""regime"": 3, ""n_rt"": 13, ""n_sig"": 16, ""completion"": 0.8125, ""annual_freq"": 15.517156862745098}, {""regime"": 4, ""n_rt"": 8, ""n_sig"": 12, ""completion"": 0.6666666666666666, ""annual_freq"": 9.45631067961165}]",0.000254,2.0928,1499
126,SOLUSDT-AAVEUSDT,SOLUSDT,AAVEUSDT,76.82,9.72,2.91,0.0,14.19,50.0,-0.0,47,71,0.662,12.811,100,"[{""lookback"": 100, ""n_rt"": 47, ""n_sig"": 71, ""rt_comp"": 0.6619718309859155, ""rt_annual"": 12.811007462686566, ""rt_per_bar"": 0.03357142857142857, ""lb_stability_bonus"": 1.0, ""combined"": 0.01808127644112898}, {""lookback"": 130, ""n_rt"": 35, ""n_sig"": 65, ""rt_comp"": 0.5384615384615384, ""rt_annual"": 9.758587786259541, ""rt_per_bar"": 0.025547445255474453, ""lb_stability_bonus"": 1.040909090909091, ""combined"": 0.010507328501607438}, {""lookback"": 155, ""n_rt"": 33, ""n_sig"": 60, ""rt_comp"": 0.55, ""rt_annual"": 9.379961089494163, ""rt_per_bar"": 0.02453531598513011, ""lb_stability_bonus"": 1.075, ""combined"": 0.01075831247073199}, {""lookback"": 180, ""n_rt"": 25, ""n_sig"": 57, ""rt_comp"": 0.43859649122807015, ""rt_annual"": 7.247023809523809, ""rt_per_bar"": 0.01893939393939394, ""lb_stability_bonus"": 1.1090909090909091, ""combined"": 0.006101420438005026}, {""lookback"": 210, ""n_rt"": 25, ""n_sig"": 56, ""rt_comp"": 0.44642857142857145, ""rt_annual"": 7.423780487804878, ""rt_per_bar"": 0.01937984496124031, ""lb_stability_bonus"": 1.15, ""combined"": 0.006647771927760071}]",0.032014,0.035237,0.908552,0.7242,0.0526,17.52,19,4,4,0.865,"[{""regime"": 1, ""n_rt"": 17, ""n_sig"": 19, ""completion"": 0.8947368421052632, ""annual_freq"": 18.590568862275447}, {""regime"": 2, ""n_rt"": 12, ""n_sig"": 18, ""completion"": 0.6666666666666666, ""annual_freq"": 13.122754491017963}, {""regime"": 3, ""n_rt"": 8, ""n_sig"": 16, ""completion"": 0.5, ""annual_freq"": 8.748502994011975}, {""regime"": 4, ""n_rt"": 11, ""n_sig"": 19, ""completion"": 0.5789473684210527, ""annual_freq"": 11.993283582089552}]",1.2e-05,0.8064,1499
